Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base
PLAY,DV8545-PLAY,PlayPoland,PLAY NOW TV BOX 2,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
SHARP,mongkok,Sharp,FK1,1876MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
BLAUPUNKT,GMP,Blaupunkt,A-STREAM,2086MB,TV,Amlogic AMLS905Y2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Hisense,xiaoyushan,Hisense,xiaoyushan,1917MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
NEBULA,DM8261,Nebula,D2421,2104MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,213,armeabi;armeabi-v7a,28,2,0
Orange,DV8555-KPO,Orange,DV8555,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
MAG,MAG425A,MAG,MAG425A,1948MB,TV,HiSilicon hi3798mv200,ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
ARTEL,R4,Artel,R4,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
VodafoneKD,diw362,Vodafone,GigaTV Net,1501MB,TV,Broadcom BCM72604,,1080x1920,320,armeabi;armeabi-v7a,28,3.1,0
TCL,BeyondTV,TCL,Beyond TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Innos,shilin,innos,Innos,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
YASIN,umeda,Yasin,YASIN 2K G Smart TV,1486MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Oneplus,Oneplus_Dosa_IN,OnePlus,Oneplus_Dosa_IN,2018MB,TV,Mediatek MT5670,3x ARM Mali G51 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
cello,sadang,Cello,Cello,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Grunhelm,redwood,Grunhelm,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
ALHAFIDH,tcl_eu,TCL,Percee TV,1968MB,TV,Mediatek MT5596,,1080x1920,320,armeabi;armeabi-v7a,24,3.2,0
Sony,BRAVIA_VU1_4K,Sony,BRAVIA_VU2,2147MB,TV,Realtek RTD2873A,2x ARM Mali G31 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
SHARP,lc_theut,Sharp,LC-UA6800T/4T-C**AM1T,1994MB,TV,Mediatek MT5596,,1080x1920,320,armeabi;armeabi-v7a,26,3.2,0
Infinix,beaudry,Infinix,43X3,1073MB,TV,Realtek RTD2841A,2x ARM Mali G31 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
ASANZO,SW6H,Asanzo,EX FF Series,1850MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Megacable,B866V2F,Megacable,OTT Xview+ AV1,2085MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
CHiQ,dundas,CHiQ,Smart TV,1438MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
MECOOL,KA1,Mecool,KA1,3948MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Noblex,SW4H,Noblex,Noblex TV,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
JOOYON,sindorim,Jooyon,UHD Android TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Onn,sti6140d360,onn.,onn. 4k TV,2084MB,TV,Amlogic AMLS905Y2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
TCL,tcl,TCL,South America,1979MB,TV,Mediatek MT5596,,1080x1920,320,armeabi;armeabi-v7a,26,3.2,0
imiia,pioneer,imiia,4K Smart TV,1964MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Swosh,samseong,Swosh,Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
EKO,martin,EKO,EU、UK、AP,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
BPL,tcl_eu,TCL,Percee TV,1976MB,TV,Mediatek MT5596,,1080x1920,320,armeabi;armeabi-v7a,26,3.2,0
Dcolor,YUL,Dcolor,GD1 4K,2085MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
ACER,R4_GTV,Acer,R4_GTV,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
MAXSONIC-ELITE,stanford,Maxsonic Elite,Maxsonic_elite,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Xiaomi,once,Xiaomi,Mi Box,2083MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Globe,SEI120G,Globe Telecom,Globe,1032MB,TV,Amlogic AMLS805X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,26,2,0
Hyundai,guandu,Hyundai,"Italy, Città del Vaticano, San Marino, European countries",1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Haier,nippori,Haier,Haier 2K Android TV,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
JVC,SW6H,JVC,JVC 4K Smart TV NZ,1850MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
JVC,tabata,JVC,UK,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
CHALLENGER,stanford,Challenger,challenger,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
RECCO,R2,RECCO,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
NIKKEI,ikebukuro,Nikkei,NI32HG7NA9,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
eSTREAM4K,SEI500MN,eSTREAM 4K,Pyxis-MetroNet,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
ALHAFIDH,R4,Alhafidh,R4,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
lge,hg2,LGU+,U+ tv woofer,987MB,TV,Marvell BG2Q4K,,720x1280,213,armeabi;armeabi-v7a,26,3,0
AZATECH,zhongshan,KTCtv,AZATECH,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Hisense,taishan,Hisense,9980,2525MB,TV,Mediatek t30,2x ARM Mali G52 (800 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Fengmi,angleeUHD,Xiaomi,Formovie Laser TV 4K Cinema,2104MB,TV,Amlogic AMLT962X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
humaxdigital,fvp4kgtr,HumaxDigital,FVP-4KGTR,2398MB,TV,Broadcom BCM7278,,1080x1920,320,armeabi;armeabi-v7a,28,3.1,0
ICE,stanford,KTCtv,ICE,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Toshiba,hayward,Toshiba,huashan_euT,962MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Bell_Canada,vip7802_bell,Bell Canada,FibeTV,4063MB,TV,Broadcom BCM72180,,1080x1920,320,armeabi;armeabi-v7a,29,3.1,0
COSMOTE-TV,HY44G,COSMOTE TV,TV Box,2086MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
LANIX,zhongshan,Lanix,LANIX,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
PILOT,samseong,PILOT,PQ55CH,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
VISIO,SW4H,VISIO,VISIO 4K Android TV,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
BVS,SFO,BVS (AR),BVS 4K OTT 01,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Blaupunkt,yeongdeungpo,Blaupunkt,Turkey,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
EKO,bruno,EKO,JVC,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
JVC,tamachi,JVC,france,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
ASTEX,bandra,ASTEX,ASTEX Google TV,1816MB,TV,Realtek RTD2885N,,1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
HiSTBAndroidV6,Hi3798MV200,,,985MB,TV,unknown,,1080x1920,240,armeabi;armeabi-v7a,24,2,0
GMMZ,DongleTV1,GMMZ,DongleTV1,2086MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
YASIN,SW6H,Yasin,YASIN 4K G Smart TV FF,1850MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
MONOMAX,DV6071Z-KTM,MONOMAX,Max Play,2085MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
MAG,MAG500A,MAG,MAG500A,2085MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
SFR,DV8555-SFR,SFR.fr,Connect TV de SFR,2085MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
INNOVA,nippori,Haier,Ecuador,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Panasonic,SW4H,Panasonic,4KTV-0SU,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
SYLVANIA,gangbyeon,SYLVANIA,4K Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
SMART-TECHNOLOGY,stanford,Smart-Tech TV,SMART TECHNOLOGY,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
OLIMPO,R4,Olimpo,R4,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
OK,bangbae,OK (Mediamark),OK,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
SHARP,lc_theux,Sharp,LC-UA6800X,1994MB,TV,Mediatek MT5596,,1080x1920,320,armeabi;armeabi-v7a,26,3.2,0
Haier,dupont,Haier,Haier Android TV ISDB,1438MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
BLAUPUNKT,hanyang,Blaupunkt,Blaupunkt android TV,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
RCA,kenton,RCA,RCA 4K Android TV,1610MB,TV,Realtek RTD2851A,2x ARM Mali G31 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
EvocaTV,f511,Evoca,EvocaTV,4146MB,TV,Broadcom BCM72180,,1080x1920,320,armeabi;armeabi-v7a,30,3.1,0
Nano,martin,Nano,EU、UK、AP,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Syinix,ikebukuro,Syinix,32A1S,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
EVVO,R4,EVVO,R4,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Wansa,xiaoyushan,Wansa,xiaoyushan_emW,1917MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Philips,gotanda,Philips,2K Android TV,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
samsung,jj680cm,KCTV,CJ680CM,1812MB,TV,Broadcom BCM7268,,720x1280,213,armeabi;armeabi-v7a,26,3.1,0
Hyundai,ikebukuro,Hyundai,Android TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
FandU,yeongdeungpo,F&U (Fandu),Greece,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
CHiQ,redwood,CHiQ,H7,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
DENKA,R1,SCBC TV,ATV R1,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
STRONG,R1,Strong,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
THOMSON_KODAK,LEDTVUHD,THOMSON_KODAK,PATH_UHDXANDROID,2104MB,TV,Amlogic AMLT960X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
LIBERTON,redwood,LIBERTON,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Dyon,bangbae,Dyon,Dyon,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Dyon,komagome,Dyon,Dyon,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
RCA,gangbyeon,RCA,4K Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
COGECO,uiw4020cog,Cogeco,TV,1787MB,TV,Broadcom BCM7271,,1080x1920,320,armeabi;armeabi-v7a,28,3.1,0
ASTECH,R4,ASTECH,R4,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
eSTAR,martin,Estar,EU、UK、AP,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
YAY,HND,YAYGO,ATV-101,2086MB,TV,Amlogic AMLS905X3,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
BOTECH,HND,BOTECH,WZONE,2086MB,TV,Amlogic AMLS905X3,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
PrismPlus,umeda,PRISMPLUS,PrismPlus 2KA,1486MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
KPN,m250_k,KPN,KPN TV+ Box,3074MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Sharp,laoshan,Hisense,laoshan,1427MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
K-Elec,bangbae,K-ELEC,K-ELEC,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
ARTEL,R2,Artel,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
SHARP,ebisu,Sharp,BG/BE,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
NIKKEI,redwood,Nikkei,Android TV,962MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
SaskTel,uiw4054sas,Sasktel,maxTV Stream,3787MB,TV,Broadcom BCM7218,,1080x1920,320,armeabi;armeabi-v7a,29,3.1,0
Changhong,longshan,Changhong,Smart TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Philips,PH1M_WW_9972,Philips,Philips Google TV TA1,2805MB,TV,Mediatek MT9972,ARM Mali G57 (800 MHz),2160x3840,320,armeabi;armeabi-v7a,31,3.2,0
BLACKLINE,R4,BLACKLINE,R4,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
FORMULER,GTV,Formuler,GTV,2085MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
HYUNDAI,lasalle,Hyundai,HYUNDAI 2K Android TV-C,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
waiputv,SEI700WP,waiputv,waipu tv stick,2086MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Hisense,harajuku,Hisense,H5500F,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
XGIMI,xgimiapollo,XGIMI,MoGo,2104MB,TV,Amlogic AMLT950X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
SCVInfinity,SEI630SCV,SCV Infinity,SCVinfi 4K,2086MB,TV,Amlogic AMLS905C1,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Grunhelm,ikebukuro,Grunhelm,GT9HD32,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
skyworth,shimbashi,Skyworth,North America,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Telenor,MediaBox_B866V2,Telenor,MediaBox,2087MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Movix,MVX03,Movix,Movix Pro,3667MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
BPL,OD0M_EA_T32,BPL,BPL UHD TV,1403MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
AXSTV,SEI130PTS,AXSTV,AXSTV130,1031MB,TV,Amlogic AMLS805Y,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,29,2,0
ADMIRAL,SW4H,Admiral Overseas Corporation,ADMIRAL 4K TV,1765MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
THOMSON,R2,Thomson,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
SHINON,samseong,SHINON,SH55G7K,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Vision,martin,Vision,EU、UK、AP,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
SKB,BIP-EB100,SK broadband,PlayZ,3141MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Vodafone,uiw4030vha,Vodafone,Vodafone TV,2085MB,TV,Amlogic AMLS905,,1080x1920,320,armeabi;armeabi-v7a,28,2,0
Xiaomi,martian,Xiaomi,MiTV,2965MB,TV,Mediatek t51p,2x ARM Mali G52 (500 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
SHARP,lc_sunuj,Sharp,LC-US5/LC-UH5/4T-C**AJ1/4T-C70AU1,1994MB,TV,Mediatek MT5596,,1080x1920,320,armeabi;armeabi-v7a,26,3.2,0
THOMSON,ikebukuro,Thomson,32TG6A9,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
GIGABYTE,huangshan,Gigabyte,huangshan_gigabyte,2033MB,TV,Mediatek t30,2x ARM Mali G52 (800 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Redmi,rango,Redmi,MiTV,1036MB,TV,Amlogic AMLT950X4,2x ARM Mali G31 (850 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
TCL,tcl_eu,TCL,Percee TV,1976MB,TV,Mediatek MT5596,,1080x1920,320,armeabi;armeabi-v7a,26,3.2,0
Tesla,SW4H,Tesla,Tesla S906,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Haier,broadway,Haier,Haier Android TV ISDB2K,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
BGH,lasalle,BGH S.A.,BGH 2K Android TV,1073MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
eSTREAM4K,SEI400TV,eSTREAM 4K,TiVo Stream 4K,2086MB,TV,Amlogic AMLS905Y2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
NAKAMICHI,zhongshan,KTCtv,NAKAMICHI,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Sony,BRAVIA_VU3_2K,Sony,BRAVIA_VU3,1610MB,TV,Realtek RTD2873A,2x ARM Mali G31 (700 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
MECOOL,LAS,Mecool,KM2,2084MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Polaroid,bangbae,Polaroid,Polaroid,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Amino,Amigo7xSCB,Aminocom,Amigo7xSCB,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
HYUNDAI,R1,Hyundai,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
VU,keoneae,Vu Televisions,VU 4K Google TV,2147MB,TV,Realtek RTD2851A,2x ARM Mali G31 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
INNOS,R2,innos,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
WALTON,tamachi,Walton,Bangladesh and EU,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
HOT,DV8555-KIH,HOT (il),HOT Streamer,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
CANDY,jordan,Haier,CANDY MatrixTV BE,1876MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
HEC,nippori,Haier,EU,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
indurama,shinjuku,Indurama,indurama 2K TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Blaupunkt,ewha,Blaupunkt,Blaupunkt,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
DAMASCO,pioneer,HKC Elec,4K Smart TV,1964MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
PL_TMPL,KSTB6077,KaonMedia,KSTB6077,1722MB,TV,Broadcom BCM7268,,1080x1920,320,armeabi;armeabi-v7a,26,3.1,0
Kogan,samseong,Kogan,Android TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
biolux,longshan,biolux,Smart TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
INVES,yeongdeungpo,Inves,Spain,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
COMTECO,DV8535-KBC,COMTECO,DV8535,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
SmartVU,ICN,DishTV-NZ,SV11,2086MB,TV,Amlogic AMLS905Y2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
AKINO,hamamatsucho,Akino,fushan_akino,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
HKC,mateo,HKC Elec,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
